Ref_RTT1,Ref_RTT2,Ref_RTT3,Ref_RTT4,Ref_5g_RTT1,Ref_5g_RTT2,Ref_5g_RTT3,Ref_5g_RTT4,Ref_2_4g_RTT1,Ref_2_4_RTT2,Ref_2_4_RTT3,Ref_2_4_RTT4,TX_Part1,TX_Part2,TX_Part3,TX_Part4,RTT1,RTT2,RTT3,RTT4
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,1.0,1.0,42.23,41.696,35.648,34.236
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,1.0,1.0,44.55,44.972,35.277,34.224
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,1.0,1.0,33.152,32.387,30.54,30.568
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,1.0,1.0,31.357,30.55,28.298,29.688
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,1.0,1.0,38.965,37.995,41.009,41.811
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.8,1.0,32.705,31.106,31.793,31.634
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.8,1.0,33.445,31.999,33.853,32.569
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.8,1.0,35.823,35.938,34.175,32.725
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.8,1.0,40.098,41.024,37.872,37.493
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.8,1.0,33.908,36.559,31.35,29.602
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,1.0,1.0,33.086,32.708,31.107,31.444
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,1.0,1.0,31.064,31.142,28.995,30.23
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,1.0,1.0,37.583,39.238,39.332,37.782
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,1.0,1.0,35.013,36.256,37.059,37.18
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,1.0,1.0,35.339,36.329,37.129,36.273
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,0.8,1.0,1.0,32.394,33.067,30.832,31.908
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,0.8,1.0,1.0,35.614,38.058,40.938,39.874
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,0.8,1.0,1.0,32.81,33.507,34.395,31.345
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,0.8,1.0,1.0,26.985,25.179,27.833,27.463
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,0.8,1.0,1.0,30.65,31.838,30.176,29.484
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.6,1.0,33.404,31.481,32.642,31.226
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.6,1.0,27.834,27.795,26.045,26.142
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.6,1.0,37.392,36.98,36.071,36.424
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.6,1.0,31.722,29.577,29.326,29.231
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,1.0,1.0,0.6,1.0,32.689,34.477,31.542,31.882
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.6,1.0,1.0,1.0,29.112,28.334,26.832,27.017
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.6,1.0,1.0,1.0,45.72,46.364,39.439,39.412
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.6,1.0,1.0,1.0,88.664,92.069,72.456,71.374
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.6,1.0,1.0,1.0,145.826,206.632,56.95,57.028
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.6,1.0,1.0,1.0,38.356,42.649,34.904,33.013
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,0.8,1.0,48.986,50.157,41.245,40.519
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,0.8,1.0,41.427,42.267,40.298,39.205
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,0.8,1.0,34.359,34.718,34.34,34.517
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,0.8,1.0,34.662,36.822,32.888,34.074
22.451,22.503,23.377,23.914,22.4,23.2,21.0,20.8,9.6,9.6,13.6,14.2,0.8,1.0,0.8,1.0,37.968,39.748,38.14,39.536
